CommonCoreID	CommonCoreDescription	Subject	Grade	SkillsArea	SkillCluster	SkillNumber	SkillName	CareerRelevance
HSN-RN.A.1	Explain how the definition of the meaning of rational exponents follows from extending the properties of integer exponents	Math	9	Number and Quantity	The Real Number System	HSN-RN.A.1	Rational exponents and properties	Engineering,Science,Technology,Finance,Architecture
HSN-RN.A.2	Rewrite expressions involving radicals and rational exponents using the properties of exponents	Math	9	Number and Quantity	The Real Number System	HSN-RN.A.2	Rewrite radical expressions	Engineering,Physics,Computer Science,Data Science
HSN-Q.A.1	Use units as a way to understand problems and to guide the solution of multi-step problems	Math	9	Number and Quantity	Quantities	HSN-Q.A.1	Dimensional analysis	Engineering,Medicine,Science,Construction,Manufacturing
HSN-Q.A.2	Define appropriate quantities for the purpose of descriptive modeling	Math	9	Number and Quantity	Quantities	HSN-Q.A.2	Define modeling quantities	Data Science,Economics,Business Analytics,Research
HSN-Q.A.3	Choose a level of accuracy appropriate to limitations on measurement	Math	9	Number and Quantity	Quantities	HSN-Q.A.3	Measurement accuracy	Engineering,Science,Medicine,Manufacturing,Quality Control
HSN-CN.A.1	Know there is a complex number i such that i² = -1	Math	11	Number and Quantity	Complex Number System	HSN-CN.A.1	Complex number fundamentals	Engineering,Physics,Signal Processing,Quantum Computing
HSN-CN.A.2	Use the relation i² = -1 and the commutative, associative, and distributive properties	Math	11	Number and Quantity	Complex Number System	HSN-CN.A.2	Complex number operations	Engineering,Electrical Engineering,Physics
HSN-CN.A.3	Find the conjugate of a complex number	Math	11	Number and Quantity	Complex Number System	HSN-CN.A.3	Complex conjugates	Engineering,Signal Processing,Physics
HSN-CN.B.4	Represent complex numbers on the complex plane in rectangular and polar form	Math	11	Number and Quantity	Complex Number System	HSN-CN.B.4	Complex plane representation	Engineering,Physics,Computer Graphics
HSN-CN.B.5	Represent addition, subtraction, multiplication, and conjugation geometrically	Math	11	Number and Quantity	Complex Number System	HSN-CN.B.5	Geometric operations	Computer Graphics,Engineering,Animation
HSN-CN.C.7	Solve quadratic equations with real coefficients that have complex solutions	Math	11	Number and Quantity	Complex Number System	HSN-CN.C.7	Complex solutions	Engineering,Physics,Mathematics
HSN-VM.A.1	Recognize vector quantities as having both magnitude and direction	Math	10	Number and Quantity	Vector and Matrix	HSN-VM.A.1	Vector fundamentals	Game Development,Physics,Engineering,Animation,Robotics
HSN-VM.A.2	Find the components of a vector by subtracting the coordinates	Math	10	Number and Quantity	Vector and Matrix	HSN-VM.A.2	Vector components	Computer Graphics,Navigation,Aviation,Marine Engineering
HSN-VM.A.3	Solve problems involving velocity and other quantities represented by vectors	Math	10	Number and Quantity	Vector and Matrix	HSN-VM.A.3	Vector applications	Physics,Engineering,Game Development,Robotics
HSN-VM.B.4	Add and subtract vectors	Math	10	Number and Quantity	Vector and Matrix	HSN-VM.B.4	Vector addition and subtraction	Physics,Engineering,Computer Graphics,Game Development
HSN-VM.B.5	Multiply a vector by a scalar	Math	10	Number and Quantity	Vector and Matrix	HSN-VM.B.5	Scalar multiplication	Computer Graphics,Physics,Engineering
HSN-VM.C.6	Use matrices to represent and manipulate data	Math	11	Number and Quantity	Vector and Matrix	HSN-VM.C.6	Matrix fundamentals	Data Science,Computer Graphics,Machine Learning,Economics
HSN-VM.C.7	Multiply matrices by scalars to produce new matrices	Math	11	Number and Quantity	Vector and Matrix	HSN-VM.C.7	Matrix scalar multiplication	Computer Graphics,Data Science,Engineering
HSN-VM.C.8	Add, subtract, and multiply matrices of appropriate dimensions	Math	11	Number and Quantity	Vector and Matrix	HSN-VM.C.8	Matrix operations	Machine Learning,Computer Graphics,Data Science
HSA-SSE.A.1	Interpret expressions that represent a quantity in terms of its context	Math	9	Algebra	Structure in Expressions	HSA-SSE.A.1	Interpret expressions	Finance,Economics,Business,Data Analysis,Marketing
HSA-SSE.A.1.a	Interpret parts of an expression, such as terms, factors, and coefficients	Math	9	Algebra	Structure in Expressions	HSA-SSE.A.1.a	Expression components	Finance,Engineering,Economics,Data Science
HSA-SSE.A.1.b	Interpret complicated expressions by viewing one or more of their parts as a single entity	Math	9	Algebra	Structure in Expressions	HSA-SSE.A.1.b	Complex expressions	Programming,Engineering,Finance,Data Science
HSA-SSE.A.2	Use the structure of an expression to identify ways to rewrite it	Math	9	Algebra	Structure in Expressions	HSA-SSE.A.2	Rewrite expressions	Computer Programming,Engineering,Mathematics,Cryptography
HSA-SSE.B.3	Choose and produce an equivalent form of an expression to reveal properties	Math	10	Algebra	Structure in Expressions	HSA-SSE.B.3	Equivalent expressions	Engineering,Computer Science,Finance,Physics
HSA-SSE.B.3.a	Factor a quadratic expression to reveal the zeros of the function	Math	10	Algebra	Structure in Expressions	HSA-SSE.B.3.a	Factor quadratics	Engineering,Physics,Computer Graphics
HSA-SSE.B.3.b	Complete the square to reveal maximum or minimum value	Math	10	Algebra	Structure in Expressions	HSA-SSE.B.3.b	Complete the square	Engineering,Physics,Optimization,Economics
HSA-SSE.B.3.c	Use properties of exponents to transform exponential expressions	Math	10	Algebra	Structure in Expressions	HSA-SSE.B.3.c	Transform exponentials	Finance,Biology,Chemistry,Physics
HSA-SSE.B.4	Derive the formula for the sum of a finite geometric series	Math	11	Algebra	Structure in Expressions	HSA-SSE.B.4	Geometric series	Finance,Computer Science,Engineering,Economics
HSA-APR.A.1	Understand that polynomials form a system analogous to the integers	Math	10	Algebra	Polynomial Arithmetic	HSA-APR.A.1	Polynomial system	Computer Science,Cryptography,Engineering,Signal Processing
